"","Tumor_cE01_(StemTA-like)_qval","Tumor_cE03_(StemTA-like_prolif)_qval","Tumor_cE05_(Enterocyte_2)_qval","Tumor_cE02_(StemTA-likeImmature_Goblet)_qval","Tumor_cE06_(Immature_Goblet)_qval"
"bioplanet_906_Disease",10.7240933347939,11.8519031723486,6.54101195651485,12.8596607227505,8.81929745291766
"bioplanet_1036_Influenza viral RNA transcription and replication",10.0702161313083,11.1991831447046,3.45448751239994,12.029823785811,8.81929745291766
"bioplanet_379_Metabolism",10.0107320699014,11.6739440465214,7.50344452254853,12.8004097595947,9.05788340899063
"bioplanet_1164_Gene expression",9.95124066692045,11.2585453343175,5.99661294981079,12.3855565501569,8.22202635035745
"bioplanet_1755_Cytoplasmic ribosomal proteins",9.95124066692045,11.5552822941569,4.02702395955686,12.2077076825808,7.8031338178932
"bioplanet_1471_Translation",9.89174178128628,11.3179024809752,3.7106154584935,12.2669944501982,8.64024326413499
"bioplanet_816_Protein metabolism",9.89174178128628,11.2585453343175,5.87525186609889,12.3855565501569,9.05788340899063
"bioplanet_985_Influenza infection",9.83223526833615,11.1398158260873,4.27774724130146,12.2077076825808,8.46108336339579
"GAVISH_3CA_MALIGNANT_METAPROGRAM_30_PDAC_CLASSICAL",9.77272097971014,11.6146154525871,5.81451212107156,12.3855565501569,8.99825261700104
"bioplanet_905_Immune system",9.53458296510492,11.4959444957529,6.54101195651485,12.8004097595947,8.93861150868054
"bioplanet_1421_Interleukin-2 signaling pathway",9.35588994502578,11.1991831447046,5.87525186609889,12.2669944501982,8.81929745291766
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_1",9.29630762519783,11.1991831447046,5.99661294981079,12.5041037889575,9.1771148977572
"bioplanet_1413_T cell receptor regulation of apoptosis",9.11750409955723,11.0804432904803,5.93595171767342,12.4448319988401,9.05788340899063
"bioplanet_894_Adaptive immune system",9.05788340899063,10.4864101440805,5.14331397957978,12.3262773864707,7.92289297103957
"bioplanet_1442_TGF-beta regulation of extracellular matrix",8.93861150868054,10.7834991355568,6.54101195651485,12.1484170236548,8.40133866289878
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_INTERFERON_MHC",8.58053539009721,10.3675310151524,5.87525186609889,11.7925878348458,8.40133866289878
"bioplanet_1404_Cap-dependent translation initiation",8.58053539009721,10.6052639519328,2.24213534854309,11.1991831447046,6.42025668251872
