"","Tumor_cE01_(StemTA-like)_qval","Tumor_cE03_(StemTA-like_prolif)_qval","Tumor_cE05_(Enterocyte_2)_qval","Tumor_cE02_(StemTA-likeImmature_Goblet)_qval","Tumor_cE06_(Immature_Goblet)_qval"
"bioplanet_906_Disease",15.7173065797772,Inf,7.51443926873608,Inf,12.9417556517895
"bioplanet_1036_Influenza viral RNA transcription and replication",15.2154161161012,17.1804847314481,5.62784858299746,Inf,11.4526207486563
"bioplanet_1471_Translation",15.0480892921746,17.4312288185919,5.62784858299746,Inf,11.5881045268988
"bioplanet_816_Protein metabolism",15.0480892921746,17.0133090988097,7.14892731706797,Inf,12.3103003409152
"bioplanet_1755_Cytoplasmic ribosomal proteins",14.9644199506836,17.2640686350992,5.42987937173522,Inf,11.5881045268988
"bioplanet_985_Influenza infection",14.9644199506836,17.0968982330635,5.42987937173522,Inf,11.9944154833757
"bioplanet_1164_Gene expression",14.7133873390954,17.0968982330635,7.29522063495821,Inf,12.0846798055722
"bioplanet_379_Metabolism",14.4623162426581,17.0968982330635,9.59938703144515,Inf,12.2651807276712
"GAVISH_3CA_MALIGNANT_METAPROGRAM_30_PDAC_CLASSICAL",14.4204671668782,16.1772630917481,7.4170403036178,Inf,12.5809728213146
"bioplanet_905_Immune system",14.2112044709067,16.8879203630772,8.51030684692492,Inf,11.9492797590588
"bioplanet_1442_TGF-beta regulation of extracellular matrix",13.8344553429748,16.2190724598843,8.63149171440212,Inf,11.1815775448766
"bioplanet_1413_T cell receptor regulation of apoptosis",13.7925879795698,16.8879203630772,7.4170403036178,Inf,12.2651807276712
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_PDAC_RELATED_1",13.5413557177084,16.0936419863631,8.43757171468999,Inf,12.1298084600687
"bioplanet_1404_Cap-dependent translation initiation",13.2900732017819,15.4245531209033,3.87055684981397,16.8461227538483,9.00847991939986
"bioplanet_1421_Interleukin-2 signaling pathway",13.2063006642156,16.4699124913933,7.27084690392614,Inf,12.1298084600687
"bioplanet_894_Adaptive immune system",12.9968425800454,15.7591249853624,7.51443926873608,Inf,10.4130078362429
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_INTERFERON_MHC",12.9549462521993,15.2154161161012,7.36832209639663,17.0551039980244,11.6784136722063
"bioplanet_1414_Oncostatin M",12.8711487541813,15.6336671686381,7.90357151719958,17.1804847314481,11.4526207486563
"bioplanet_1157_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",12.8292475501667,15.257245402272,3.99866187134176,16.3026888596526,9.09924109835834
"bioplanet_596_Immune system signaling by interferons, interleukins, prolactin, and growth hormones",12.535891654889,15.3409011302574,7.12453295512402,16.9297172866947,10.503479458876
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EPI_2",12.4520598778371,16.0936419863631,8.09788417665905,Inf,11.4074540041172
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_SECRETED",12.2005200689587,15.0899224673162,6.63584044725742,16.4281077137758,11.6784136722063
"HALLMARK_ALLOGRAFT_REJECTION",11.990850117963,15.2154161161012,6.61136209262699,16.3026888596526,9.82455689775383
"GAVISH_3CA_METAPROGRAM_EPITHELIAL_EPI4",11.9489100349696,15.3409011302574,5.7513310849562,16.8461227538483,9.7339616902243
"GAVISH_3CA_METAPROGRAM_FIBROBLASTS_METAL_RESPONSE",11.9069678675302,14.2112044709067,6.61136209262699,16.3863021867435,10.4130078362429
